9.614-9.773: hello
1872.840-1873.080: his
1873.080-1873.480: face
1873.480-1873.640: or
1873.640-1873.880: as
1873.880-1874.120: text
1874.120-1874.600: matches
1874.600-1874.760: and
1874.760-1874.920: stuff
1875.240-1875.320: yeah
1875.814-1875.974: alright
1876.293-1876.452: and
1876.452-1876.691: so
1876.691-1876.931: he
1876.931-1877.090: gets
1877.250-1877.330: like
1877.489-1877.728: a
1877.728-1878.207: gorilla
1878.207-1878.525: recoup
1878.525-1878.765: on
1878.765-1879.265: his
1879.323-1879.562: text
1879.562-1879.881: messaging
1879.881-1880.120: and
1880.120-1880.200: like
1880.360-1880.439: yeah
1880.758-1880.838: i'm
1880.838-1881.077: gonna
1881.157-1881.237: i
1881.237-1881.316: saw
1881.316-1881.715: an
1881.715-1881.875: interview
1881.875-1882.375: with
1882.832-1883.151: mark
1883.151-1883.390: cuban
1883.390-1883.629: and
1884.745-1884.905: what's
1884.905-1884.985: your
1884.985-1885.224: name
1885.224-1885.304: again
1885.543-1885.623: rachel
1885.702-1885.941: mad
1886.181-1886.261: yeah
1886.420-1886.580: but
1886.659-1886.739: i
1886.819-1886.978: i
1886.978-1887.058: couldn't
1887.058-1887.217: tell
1887.217-1887.377: which
1887.377-1887.536: was
1887.536-1887.696: which
1898.078-1898.317: so
1898.317-1898.556: my
1898.556-1898.955: question
1898.955-1899.035: is
1899.354-1899.513: would
1899.513-1900.013: you
1900.072-1900.311: wait
1901.124-1901.204: i
1901.762-1901.922: because
1901.922-1902.321: this
1902.321-1902.480: destroyed
1902.480-1902.640: me
1902.879-1902.959: i
1902.959-1903.198: was
1903.198-1903.438: really
1903.438-1903.837: badly
1903.837-1903.996: injured
1904.396-1904.555: i'm
1904.555-1904.715: not
1904.715-1904.874: saying
1904.874-1904.954: it
1904.954-1905.034: have
1905.034-1905.194: to
1905.433-1905.513: i
1905.513-1905.592: don't
1905.592-1905.672: need
1905.672-1905.752: to
1905.752-1905.832: put
1905.832-1905.912: you
1905.912-1905.992: on
1905.992-1906.071: in
1906.071-1906.231: the
1906.231-1906.311: spot
1906.470-1906.630: would
1906.630-1906.949: you
1906.949-1907.449: consider
1907.508-1907.986: implementing
1907.986-1908.146: that
1908.146-1908.306: kind
1908.306-1908.465: of
1908.465-1908.625: thing
1908.625-1908.784: on
1908.784-1908.864: the
1908.944-1909.343: twitter
1909.343-1909.423: where
1909.423-1909.582: you
1909.582-1909.822: could
1909.902-1910.061: you
1910.061-1910.141: know
1910.380-1910.620: use
1911.099-1911.258: have
1911.258-1911.498: a
1911.498-1911.998: dinosaur
1912.216-1912.455: a
1912.455-1912.934: monkey
1912.934-1913.333: throwing
1913.333-1913.652: poop
1913.652-1913.812: and
1913.812-1913.971: put
1913.971-1914.131: it
1914.131-1914.450: on
1914.450-1914.770: top
1914.770-1915.270: of
1915.488-1915.807: mark
1915.807-1916.307: cuban
1916.700-1916.780: know
1916.940-1917.020: like
1917.180-1917.499: new
1917.499-1917.999: stupid
1918.059-1918.459: look
1918.459-1918.619: that
1918.619-1918.778: he
1918.778-1919.018: has
1919.658-1919.738: well
1920.297-1920.377: i
1920.377-1920.457: mean
1920.697-1921.017: business
1921.017-1921.257: is
1921.257-1921.497: designer
1922.136-1922.536: about
1922.536-1922.856: about
1922.856-1923.356: probably
1924.135-1924.375: five
1924.375-1924.695: million
1924.695-1925.195: people
1925.254-1925.414: have
1925.414-1925.654: now
1925.654-1925.974: heard
1925.974-1926.214: about
1926.214-1926.373: the
1926.373-1926.693: pup
1928.292-1928.612: maybe
1928.612-1928.852: ten
1928.852-1929.092: million
1929.811-1929.971: there's
1929.971-1930.051: a
1930.051-1930.131: lot
1930.131-1930.211: of
1930.211-1930.371: people
1930.371-1930.531: are
1930.531-1930.690: gonna
1930.690-1930.930: watch
1930.930-1931.010: this
1931.250-1931.385: you
1931.745-1932.144: so
1933.023-1933.183: i
1933.183-1933.342: think
1933.342-1933.582: that's
1933.582-1933.902: a
1933.902-1934.141: that's
1934.141-1934.301: some
1934.301-1934.621: solid
1934.621-1934.940: pro
1934.940-1935.340: publicity
1935.340-1935.580: right
1935.580-1935.739: there
1937.497-1937.737: thank
1937.737-1937.897: you
1940.853-1941.092: thanks
1941.092-1941.332: for
1941.332-1941.572: coming
1942.211-1942.451: you're
1942.451-1942.951: gonna
1943.010-1943.170: help
1943.170-1943.409: us
1943.409-1943.569: win
1943.969-1944.288: pennsylvania
1944.288-1944.448: and
1944.448-1944.768: the
1944.768-1945.007: entire
1945.726-1945.886: yes
1950.700-1950.860: well
1951.260-1951.340: i
1951.340-1951.420: mean
1951.820-1951.900: i
1952.060-1952.140: i
1952.140-1952.220: should
1952.220-1952.380: say
1952.380-1952.460: like
1952.540-1952.700: the
1952.780-1953.260: like
1953.260-1953.340: like
1953.420-1953.740: it's
1953.740-1954.140: incredibly
1954.140-1954.640: important
1955.180-1955.680: that
1956.700-1956.860: everyone
1956.860-1957.100: here
1957.100-1957.420: and
1957.420-1957.580: everyone
1957.580-1957.980: listening
1958.700-1959.020: watching
1959.833-1960.072: that
1960.072-1960.391: you
1960.391-1960.630: go
1960.630-1961.029: and
1961.029-1961.268: and
1961.268-1961.428: and
1961.428-1961.587: get
1961.986-1962.225: make
1962.225-1962.544: sure
1962.544-1962.783: your
1962.783-1963.182: friends
1963.182-1963.682: family
1963.740-1964.240: yourself
1964.697-1964.936: are
1964.936-1965.335: registered
1965.335-1965.494: to
1965.494-1965.893: vote
1965.893-1966.132: because
1966.132-1966.531: the
1966.531-1967.031: voting
1967.169-1967.487: registration
1967.487-1967.886: deadline
1967.886-1968.046: in
1968.125-1968.285: patch
1968.285-1968.763: pennsylvania
1969.082-1969.242: ends
1969.242-1969.561: at
1969.561-1969.720: midnight
1969.720-1969.800: on
1969.880-1970.119: monday
1970.836-1971.336: so
1971.713-1972.032: there's
1972.032-1972.272: only
1972.272-1972.431: a
1972.431-1972.591: few
1972.591-1972.830: days
1972.830-1972.989: left
1974.599-1974.919: and
1975.318-1975.818: so
1975.877-1976.377: how
1976.435-1976.515: you
1976.515-1976.675: just
1976.675-1976.835: gotta
1976.835-1976.914: be
1976.914-1977.074: a
1977.074-1977.234: pest
1977.234-1977.473: and
1977.633-1977.713: like
1977.793-1977.952: hound
1977.952-1978.112: do
1978.112-1978.192: you
1978.431-1978.751: hound
1978.751-1978.990: everyone
1978.990-1979.070: you
1979.070-1979.469: know
1979.469-1979.789: to
1979.789-1979.868: make
1979.868-1980.108: sure
1980.108-1980.267: they're
1980.267-1980.427: ready
1980.427-1980.667: to
1980.667-1980.906: vote
1980.906-1981.146: and
1981.146-1981.226: and
1981.226-1981.625: the
1981.625-1981.784: registration
1981.784-1981.944: is
1981.944-1982.444: good
1983.062-1983.301: because
1983.301-1983.780: it's
1983.780-1984.020: it's
1984.020-1984.259: a
1984.259-1984.419: sort
1984.419-1984.738: of
1984.898-1984.977: you
1984.977-1985.137: know
1985.457-1985.616: a
1985.616-1985.856: shock
1985.856-1986.175: clock
1986.175-1986.335: ends
1986.335-1986.835: at
1986.894-1987.053: midnight
1987.053-1987.133: of
1987.213-1987.452: monday
1987.931-1988.431: so
1989.939-1990.417: paw
1990.417-1990.736: go
1993.603-1993.683: you're
1993.683-1993.842: gonna
1993.842-1994.001: be
1994.001-1994.240: the
1994.240-1994.320: head
1994.320-1994.479: of
1994.479-1994.718: the
1994.718-1995.117: do
1995.913-1996.072: have
1996.072-1996.311: you
1996.311-1996.630: thought
1996.630-1996.869: about
1996.869-1997.108: whether
1997.267-1997.745: ai
1997.745-1997.984: and
1997.984-1998.484: blockchain
1998.701-1998.860: can
1998.860-1999.019: be
1999.019-1999.338: used
1999.338-1999.577: to
1999.577-1999.975: track
1999.975-2000.373: every
2000.373-2000.692: dollar
2000.692-2000.851: that
2000.851-2001.011: the
2001.011-2001.511: government
2001.568-2001.966: spends
2002.540-2002.779: makes
2002.779-2003.258: people
2003.258-2003.758: accountable
2004.057-2004.217: to
2004.217-2004.377: the
2004.377-2004.696: very
2004.696-2005.016: last
2005.016-2005.415: person
2005.415-2005.575: and
2005.575-2005.655: we
2005.655-2006.054: know
2006.054-2006.533: exactly
2006.533-2007.033: who
2007.172-2007.492: agreed
2007.492-2007.651: to
2007.651-2007.811: a
2007.811-2007.971: four
2007.971-2008.211: hundred
2008.211-2008.610: dollar
2008.610-2009.009: toilet
2009.009-2009.169: seat
2009.648-2009.968: yeah
2010.287-2010.527: can
2010.527-2010.607: we
2010.607-2010.766: do
2010.766-2010.846: that
2011.086-2011.166: is
2011.166-2011.485: that
2011.485-2011.725: in
2011.725-2011.885: the
2012.284-2012.364: actually
2012.603-2012.843: that's
2012.843-2012.923: a
2012.923-2013.083: good
2013.083-2013.243: idea
2014.041-2014.121: no
2015.094-2015.174: that's
2015.174-2015.254: a
2015.254-2015.414: good
2015.414-2015.733: idea
2015.733-2016.132: because
2016.132-2016.211: actually
2016.371-2016.451: trying
2016.451-2016.611: to
2016.611-2016.770: make
2016.770-2017.010: sense
2017.010-2017.249: of
2017.249-2017.568: these
2017.568-2017.888: incredibly
2017.888-2018.287: complex
2018.287-2018.446: laws
2018.446-2018.606: and
2018.606-2019.106: rate
2019.164-2019.484: regulations
2019.484-2019.643: where
2019.723-2019.803: you
2019.803-2019.963: know
2020.282-2020.441: a
2020.441-2020.601: log
2020.601-2020.841: gets
2020.841-2021.080: passed
2021.080-2021.239: that's
2021.319-2021.559: like
2021.559-2021.798: longer
2021.798-2021.958: than
2021.958-2022.038: lord
2022.038-2022.117: of
2022.117-2022.277: the
2022.277-2022.357: rings
2023.474-2023.634: and
2023.634-2023.793: no
2023.793-2024.033: one's
2024.033-2024.272: actually
2024.272-2024.432: read
2024.432-2024.591: the
2024.591-2024.671: thing
2024.911-2024.991: like
2025.070-2025.469: literally
2025.469-2025.948: not
2025.948-2026.188: there's
2026.188-2026.507: not
2026.507-2027.007: actually
2027.065-2027.145: want
2027.559-2027.798: one
2027.798-2028.037: human
2028.037-2028.197: who's
2028.197-2028.356: read
2028.356-2028.516: the
2028.516-2028.914: whole
2028.914-2029.153: the
2029.153-2029.472: whole
2029.472-2029.632: law
2029.871-2030.030: and
2030.030-2030.269: then
2030.269-2030.508: that
2030.508-2030.748: law
2030.748-2031.248: gets
2031.385-2031.885: amplified
2031.943-2032.443: by
2032.581-2032.661: you
2032.661-2032.741: know
2032.820-2032.980: a
2032.980-2033.299: hundred
2033.299-2033.617: times
2033.617-2033.856: by
2033.856-2034.335: the
2034.335-2034.654: regulations
2034.654-2035.052: that
2035.052-2035.291: that
2035.291-2035.531: follow
2036.407-2036.487: i
2036.487-2036.987: think
2037.045-2037.205: you
2037.523-2037.603: the
2037.763-2037.922: the
2037.922-2038.081: only
2038.081-2038.241: thing
2038.241-2038.480: that
2038.480-2038.799: could
2038.799-2039.299: comprehend
2039.357-2039.596: that
2039.596-2039.755: is
2039.755-2039.915: an
2039.995-2040.234: ai
2040.393-2040.792: basically
2041.604-2041.844: so
2042.004-2042.083: i
2042.083-2042.243: think
2042.243-2042.403: that
2042.403-2042.642: would
2042.642-2042.722: that
2042.722-2042.882: would
2042.882-2043.042: actually
2043.042-2043.121: be
2043.121-2043.281: a
2043.281-2043.521: good
2043.521-2043.680: idea
2043.680-2043.760: is
2043.760-2043.920: like
2044.000-2044.080: saying
2044.319-2044.399: okay
2044.559-2044.638: hey
2044.638-2044.718: ai
2044.878-2044.958: i
2044.958-2045.437: just
2045.437-2045.677: tells
2045.677-2046.076: what's
2046.076-2046.235: actually
2046.235-2046.555: going
2046.555-2046.635: on
2046.794-2047.273: where
2047.273-2047.433: where
2047.433-2047.513: is
2047.513-2047.673: the
2047.673-2047.912: money
2047.912-2048.152: getting
2048.152-2048.231: spent
2048.471-2048.551: what
2048.551-2048.711: is
2048.711-2049.190: this
2049.190-2049.349: what
2049.349-2049.429: does
2049.429-2049.669: this
2049.669-2049.988: law
2049.988-2050.308: actually
2050.308-2050.467: mean
2050.707-2051.207: and
2053.022-2053.262: and
2053.262-2053.762: and
2053.821-2053.981: simplify
2053.981-2054.220: it
2054.220-2054.459: really
2056.136-2056.636: so
2057.745-2057.905: yeah
2058.223-2058.382: i
2058.382-2058.541: mean
2059.178-2059.678: the
2059.735-2059.974: the
2059.974-2060.212: the
2060.212-2060.371: the
2060.371-2060.530: amount
2060.530-2060.769: of
2060.769-2061.008: government
2061.008-2061.326: waste
2061.326-2061.486: that
2061.486-2061.963: happens
2061.963-2062.440: is
2062.440-2062.679: is
2062.679-2063.157: truly
2063.157-2063.396: staggering
2063.634-2063.714: i
2063.714-2063.794: mean
2063.873-2063.953: if
2063.953-2064.271: you've
2064.271-2064.351: if
2064.351-2064.510: you've
2064.510-2064.748: been
2064.748-2064.987: exposed
2064.987-2065.146: to
2065.146-2065.624: government
2065.624-2065.863: contracting
2066.101-2066.340: it's
2066.340-2066.738: it's
2066.738-2066.977: it's
2066.977-2067.295: pretty
2067.295-2067.613: nutty
2068.489-2068.727: it's
2068.727-2069.227: like
2069.284-2069.523: beyond
2070.495-2070.735: so
2070.735-2070.814: it's
2070.814-2071.054: so
2071.054-2071.294: crazy
2071.374-2071.874: it's
2072.014-2072.174: it's
2072.174-2072.334: hard
2072.334-2072.573: to
2072.573-2072.733: believe
2074.892-2075.372: so
2075.532-2075.771: yeah
2077.610-2077.850: so
2077.850-2078.090: if
2078.090-2078.409: it's
2078.569-2078.649: i
2078.649-2078.809: think
2078.809-2078.969: there's
2078.969-2079.209: basically
2079.209-2079.289: a
2079.289-2079.369: lot
2079.369-2079.529: of
2079.529-2079.689: room
2079.689-2080.008: for
2080.008-2080.328: for
2080.328-2080.488: for
2080.488-2080.888: improvement
2080.888-2081.128: there
2081.128-2081.448: and
2081.448-2081.948: and
2082.007-2082.167: the
2082.167-2082.487: net
2082.487-2082.807: result
2082.807-2082.967: will
2082.967-2083.467: be
2083.846-2084.086: a
2084.086-2084.565: significant
2084.565-2084.885: improvement
2084.885-2085.180: in
2085.380-2085.539: like
2085.539-2085.619: i
2085.619-2085.699: said
2085.779-2085.939: in
2085.939-2086.258: personal
2086.258-2086.657: freedom
2086.657-2086.896: and
2086.896-2087.056: the
2087.056-2087.376: standard
2087.376-2087.535: living
2087.775-2088.014: america
2088.972-2089.472: so
2094.801-2095.280: this
2095.440-2095.600: i
2095.600-2095.839: mister
2095.919-2096.238: musk
2096.238-2096.318: get
2096.318-2096.478: is
2096.478-2096.558: such
2096.558-2096.797: an
2096.797-2097.197: honor
2097.197-2097.516: to
2097.516-2097.675: be
2097.675-2097.915: here
2097.915-2098.075: with
2098.075-2098.234: you
2098.474-2098.554: i
2098.554-2098.873: am
2098.873-2099.193: actually
2099.193-2099.512: a
2099.512-2100.012: former
2100.151-2100.310: man
2100.645-2100.965: green
2100.965-2101.445: media
2101.445-2101.925: journalist
2102.405-2102.645: i
2102.645-2103.045: now
2103.045-2103.525: teach
2103.525-2103.685: of
2103.765-2104.085: martial
2104.165-2104.645: arts
2104.645-2105.045: in
2105.045-2105.205: the
2105.205-2105.365: city
2105.365-2105.525: of
2105.765-2106.265: philadelphia
2106.805-2107.045: to
2107.045-2107.545: kids
2107.925-2108.245: and
2108.245-2108.565: also
2108.565-2108.645: in
2108.725-2109.125: camden
2109.365-2109.865: and
2110.485-2110.725: i
2110.725-2110.965: find
2110.965-2111.205: that
2111.205-2111.525: the
2111.525-2112.025: character
2112.085-2112.405: skills
2112.405-2112.645: that
2112.645-2113.125: they
2113.125-2113.365: need
2113.685-2113.925: they
2113.925-2114.165: get
2114.165-2114.405: through
2114.485-2114.725: martial
2114.805-2114.965: arts
2115.205-2115.445: not
2115.445-2115.685: so
2115.685-2115.900: much
2116.019-2116.417: through
2117.212-2117.712: the
2117.849-2118.008: education
2118.008-2118.167: they're
2118.167-2118.406: getting
2118.644-2118.803: and
2118.803-2119.042: with
2119.042-2119.281: my
2119.281-2119.678: journalism
2119.678-2119.838: back
2120.076-2120.156: it's
2120.792-2120.951: hundred
2120.951-2121.190: martial
2121.190-2121.428: arts
2121.428-2121.508: too
2121.667-2121.826: it's
2121.826-2121.985: it's
2121.985-2122.065: great
2122.224-2122.542: it
2122.542-2122.701: it
2122.701-2123.201: is
2124.133-2124.292: a
2124.292-2124.372: bit
2124.849-2125.008: it
2125.008-2125.088: is
2125.247-2125.326: it
2125.326-2125.644: is
2125.644-2125.724: it
2125.724-2125.883: is
2125.883-2126.042: a
2126.042-2126.281: very
2126.281-2126.519: healthy
2126.519-2126.758: thing
2126.758-2126.917: for
2126.917-2127.076: kids
2127.076-2127.156: to
2127.156-2127.236: do
2127.394-2127.474: i
2127.474-2127.554: think
2127.713-2127.872: yeah
2128.525-2128.845: and
2128.845-2129.005: adults
2129.005-2129.165: too
2129.325-2129.405: yeah
2129.565-2129.645: i
2129.645-2129.885: will
2129.885-2129.965: spark
2129.965-2130.445: you
2130.445-2130.605: anytime
2131.565-2131.885: mh
2133.805-2134.045: my
2134.045-2134.545: question
2134.845-2135.165: is
2135.405-2135.565: i
2135.565-2135.725: have
2135.725-2135.965: such
2135.965-2136.205: like
2136.205-2136.525: a
2136.525-2137.025: strong
2137.085-2137.325: desire
2137.325-2137.565: for
2137.565-2137.885: truth
2137.885-2137.965: that
2138.125-2138.205: i
2138.205-2138.445: feel
2138.445-2138.525: like
2139.165-2139.405: looking
2139.405-2139.565: at
2139.565-2139.725: x
2139.885-2140.045: but
2140.045-2140.205: also
2140.380-2140.620: coming
2140.620-2140.940: to
2140.940-2141.180: events
2141.180-2141.420: like
2141.420-2141.740: this
2141.740-2141.900: is
2141.900-2142.140: the
2142.140-2142.300: only
2142.300-2142.540: way
2142.540-2142.620: that
2142.780-2142.940: i
2142.940-2143.100: can
2143.100-2143.500: truly
2143.500-2143.740: feel
2143.740-2143.820: that
2143.900-2144.140: i
2144.140-2144.640: confidently
2144.700-2145.180: know
2145.180-2145.420: what
2145.420-2145.660: you're
2145.660-2145.980: saying
2145.980-2146.140: and
2146.140-2146.300: how
2146.300-2146.460: you're
2146.460-2146.620: saying
2146.620-2146.700: it
2146.860-2146.940: which
2147.020-2147.340: i
2147.340-2147.580: appreciate
2147.580-2147.660: appreciate
2148.060-2148.140: what
2148.140-2148.300: do
2148.300-2148.380: we
2148.380-2148.620: do
2148.620-2149.100: for
2149.100-2149.600: kids
2150.140-2150.300: so
2150.300-2150.540: that
2150.540-2150.780: when
2150.780-2150.940: they
2150.940-2151.180: get
2151.180-2151.420: older
2151.660-2151.900: they
2151.900-2152.220: can
2152.220-2152.620: see
2152.620-2152.860: through
2152.860-2153.360: it
2153.580-2153.740: because
2153.740-2153.900: what
2153.900-2154.060: they're
2154.060-2154.380: learning
2154.380-2154.460: now
2154.620-2154.860: i
2154.860-2155.180: think
2155.180-2155.260: fault
2155.595-2155.834: short
2155.834-2156.073: of
2156.073-2156.312: not
2156.312-2156.551: just
2156.551-2156.870: the
2156.870-2157.269: character
2157.428-2157.588: but
2157.588-2157.827: also
2157.827-2158.066: their
2158.066-2158.465: ability
2158.465-2158.784: to
2158.784-2159.284: discern
2159.342-2159.502: their
2159.502-2159.901: own
2159.901-2160.220: opinion
2161.575-2161.735: well
2162.054-2162.213: yeah
2162.452-2162.532: i
2163.011-2163.170: that's
2163.170-2163.330: good
2163.330-2163.489: point
2163.728-2163.808: i
2163.888-2163.968: i
2164.127-2164.207: i
2164.207-2164.685: think
2164.685-2165.185: teaching
2165.243-2165.403: teaching
2165.403-2165.722: kids
2165.722-2166.121: critical
2166.121-2166.621: thinking
2167.078-2167.317: is
2167.317-2167.556: very
2167.556-2167.795: important
2167.955-2168.114: they
2168.114-2168.274: should
2168.274-2168.354: be
2168.354-2168.593: toward
2168.593-2168.832: critical
2168.832-2168.912: thing
2168.992-2169.151: it's
2169.151-2169.311: it's
2169.311-2169.470: like
2169.470-2169.550: a
2169.550-2169.869: mental
2169.869-2170.347: firewall
2171.239-2171.478: you
2171.478-2171.637: teach
2171.637-2171.876: kids
2171.876-2172.115: critical
2172.115-2172.433: thinking
2172.433-2172.513: at
2172.513-2172.672: a
2172.672-2172.911: young
2172.911-2173.070: age
2173.946-2174.105: and
2174.105-2174.503: just
2174.663-2174.742: you
2174.742-2174.822: know
2174.981-2175.220: teach
2175.220-2175.379: them
2175.379-2175.538: the
2175.538-2175.777: types
2175.777-2176.016: of
2176.016-2176.516: fallacies
2176.573-2176.732: that
2176.732-2176.892: they're
2176.892-2177.392: likelihood
2177.529-2178.029: encounter
2178.245-2178.484: the
2178.484-2178.643: the
2178.643-2178.723: sort
2178.723-2178.882: of
2178.882-2179.121: forms
2179.121-2179.439: of
2179.439-2179.758: trickery
2180.395-2180.554: like
2180.634-2180.793: you
2180.793-2180.952: know
2181.430-2181.589: straw
2181.589-2181.907: man
2181.907-2182.407: fallacy
2182.544-2182.704: or
2182.783-2182.943: you
2182.943-2183.102: know
2184.234-2184.634: so
2184.634-2184.794: there's
2184.794-2184.874: there's
2184.954-2185.034: like
2185.114-2185.274: the
2185.274-2185.513: various
2185.593-2185.673: you
2185.673-2185.833: know
2186.233-2186.552: ways
2186.552-2187.052: that
2188.391-2188.711: that
2188.711-2189.211: that
2189.830-2190.310: information
2190.310-2190.549: that
2190.549-2190.629: that
2190.789-2190.949: like
2191.988-2192.388: media
2192.388-2192.548: or
2192.548-2193.048: or
2193.587-2193.827: people
2193.827-2193.986: will
2193.986-2194.146: trick
2194.146-2194.466: you
2194.466-2194.706: and
2194.706-2194.866: and
2194.866-2195.366: just
2196.159-2196.238: kind
2196.238-2196.478: of
2196.478-2196.797: i
2196.797-2197.116: analyzing
2197.116-2197.515: kids
2197.515-2198.015: effectively
2198.074-2198.233: against
2198.233-2198.313: that
2198.552-2198.632: i
2198.632-2198.872: think
2198.872-2199.111: early
2199.111-2199.430: on
2199.430-2199.590: would
2199.590-2199.829: be
2199.829-2199.989: a
2199.989-2200.149: very
2200.149-2200.388: good
2200.388-2200.468: thing
2200.468-2200.627: to
2200.627-2200.787: do
2201.266-2201.505: basically
2201.984-2202.144: just
2202.144-2202.383: teach
2202.383-2202.622: kids
2202.622-2202.702: like
2202.862-2203.362: don't
2204.218-2204.298: be
2204.298-2204.458: a
2204.458-2204.777: little
2204.777-2205.016: be
2205.016-2205.415: skeptical
2205.415-2205.575: about
2205.575-2205.735: what
2205.735-2205.974: you're
2205.974-2206.213: told
2206.932-2207.091: it
2207.091-2207.251: may
2207.410-2207.570: it
2207.570-2207.729: may
2207.729-2207.809: be
2207.809-2207.969: true
2208.049-2208.129: it
2208.129-2208.288: may
2208.288-2208.448: not
2208.448-2208.528: be
2208.528-2208.607: true
2208.767-2208.927: or
2208.927-2209.326: maybe
2209.326-2209.645: that
2209.645-2209.884: that's
2209.884-2210.124: often
2210.283-2210.363: it's
2210.363-2210.443: a
2210.602-2210.762: there's
2210.762-2210.842: a
2210.842-2211.241: certain
2211.241-2211.615: percentage
2211.735-2211.894: chance
2211.894-2212.053: that
2212.053-2212.292: it
2212.292-2212.452: is
2212.452-2212.691: true
2213.010-2213.169: and
2213.169-2213.249: you
2213.249-2213.408: wanted
2213.408-2213.727: to
2213.727-2214.227: consider
2214.762-2215.161: the
2215.161-2215.320: the
2215.320-2215.639: evidence
2217.392-2217.551: you
2217.551-2217.631: know
2218.906-2219.065: weigh
2219.065-2219.225: the
2219.225-2219.543: evidence
2219.543-2219.862: to
2219.862-2220.101: decide
2220.101-2220.340: what
2220.340-2220.499: is
2220.499-2220.659: the
2220.659-2221.159: probability
2221.217-2221.376: that
2221.376-2221.456: a
2221.456-2221.695: certain
2221.695-2221.774: thing
2221.774-2221.934: is
2221.934-2222.093: true
2222.093-2222.332: or
2222.332-2222.492: not
2222.492-2222.651: true
2223.209-2223.368: and
2223.368-2223.868: then
2224.085-2224.140: pants
2224.419-2224.579: when
2224.739-2224.979: obviously
2225.059-2225.298: when
2225.298-2225.458: when
2225.458-2225.698: you
2225.698-2225.937: hear
2225.937-2226.097: more
2226.097-2226.337: evidence
2226.576-2226.656: then
2226.656-2226.896: you
2226.896-2227.055: change
2227.055-2227.215: the
2227.215-2227.715: probabilities
2229.452-2229.532: i
2229.532-2229.612: mean
2230.011-2230.171: generally
2230.331-2230.410: like
2230.890-2230.970: i've
2230.970-2231.129: believe
2231.129-2231.209: in
2231.209-2231.369: the
2231.369-2231.449: sort
2231.449-2231.609: of
2231.609-2232.109: physics
2232.248-2232.647: approach
2232.647-2233.147: to
2233.765-2234.085: thinking
2234.884-2235.044: which
2235.044-2235.283: is
2235.283-2235.523: that
2235.523-2235.842: you
2235.842-2236.082: you
2236.082-2236.401: you
2236.401-2236.561: you're
2236.561-2236.801: always
2236.801-2237.041: like
2237.041-2237.415: how
2237.535-2237.934: you're
2237.934-2238.173: always
2238.173-2238.333: weighing
2238.333-2238.573: the
2238.573-2239.073: probabilities
2239.131-2239.291: that
2239.291-2239.610: something
2239.610-2239.770: is
2239.770-2239.930: true
2239.930-2240.089: or
2240.089-2240.249: not
2240.249-2240.409: true
2240.808-2240.968: or
2240.968-2241.207: that
2241.207-2241.367: there
2241.367-2241.447: may
2241.447-2241.526: be
2241.526-2241.686: a
2241.686-2242.186: third
2242.245-2242.405: explanation
2243.762-2244.001: and
2244.321-2244.480: and
2244.480-2244.640: be
2244.640-2244.879: very
2244.879-2245.119: open
2245.119-2245.358: to
2245.358-2245.598: new
2245.598-2245.997: facts
2245.997-2246.237: changing
2246.237-2246.476: your
2246.476-2246.636: mind
2247.674-2248.174: so
2252.638-2252.877: for
2252.877-2253.117: free
2253.117-2253.356: that
2253.356-2253.595: helps
2253.595-2253.755: to
2253.755-2253.994: promote
2254.074-2254.154: like
2254.233-2254.473: true
2254.473-2254.973: journalism
2255.111-2255.611: through
2255.669-2255.988: anything
2256.148-2256.227: i
2256.227-2256.307: would
2256.307-2256.467: be
2256.467-2256.626: happy
2256.626-2256.786: to
2256.786-2256.866: do
2256.866-2257.025: it
2257.424-2257.584: to
2257.584-2257.743: mean
2257.743-2257.983: everything
2258.142-2258.222: well
2258.382-2258.461: thank
2258.780-2258.860: well
2258.940-2259.179: i
2259.259-2259.339: i
2259.339-2259.499: think
2260.935-2261.094: i
2261.094-2261.333: actually
2261.333-2261.493: that
2261.493-2261.732: that
2261.732-2261.892: that
2261.892-2262.131: what
2262.131-2262.211: what
2262.211-2262.370: we
2262.370-2262.610: wanna
2262.610-2262.849: move
2262.849-2263.349: to
2263.886-2264.285: is
2264.285-2264.524: is
2264.524-2265.024: really
2266.455-2266.854: systems
2266.854-2267.174: like
2267.174-2267.654: x
2267.654-2267.894: and
2267.894-2268.133: other
2268.133-2268.374: social
2268.374-2268.613: media
2268.613-2269.093: platforms
2269.093-2269.593: too
2269.812-2270.212: if
2270.692-2271.092: hopefully
2272.131-2272.631: where
2272.691-2272.851: you
2272.851-2273.170: really
2273.170-2273.570: have
2273.570-2274.070: the
2274.290-2274.530: the
2274.530-2274.689: sum
2274.689-2274.849: of
2274.849-2275.009: the
2275.009-2275.169: voice
2275.169-2275.329: of
2275.329-2275.569: the
2275.569-2275.809: people
2277.568-2277.807: yeah
2277.807-2277.967: in
2277.967-2278.127: in
2278.127-2278.527: time
2278.527-2278.767: passed
2279.007-2279.087: we
2279.087-2279.326: didn't
2279.326-2279.407: have
2279.407-2279.566: the
2279.566-2280.046: technology
2280.046-2280.126: for
2280.126-2280.206: this
2280.366-2280.686: so
2280.686-2280.845: the
2280.845-2281.085: only
2281.085-2281.165: way
2281.165-2281.620: to
2281.820-2282.140: learn
2282.140-2282.380: news
2282.380-2282.619: was
2282.619-2282.700: for
2282.700-2282.939: it
2282.939-2283.019: to
2283.019-2283.259: be
2283.259-2283.339: to
2283.339-2283.579: be
2283.579-2283.979: filtered
